Name	Set	ImageFile	Politics_Cost	Intrigue_Cost	One_Power_Cost	Combat_Cost	Type	Subtype/Allegiance	Attribute	Politics_Ability	Intrigue_Ability	One_Power_Ability	Combat_Ability	Rarity	Collector	Text
Seeking Someshta	dark_prophecies	seeking_someshta					Challenge							Rare 2	02-106 R2	Only a Hero player may initiate this challenge, and only once per game.  If successful, search your deck for the Dragon Banner, The Seals, and/or the Horn of Valere, and place them in your hand.  Each character and troop with the Dark One allegiance which participates in this challenge takes 4 points of damage at the start of the resolution round.
Selene	dark_prophecies	selene					Advantage	Character						Rare 2	02-107 R2	Target Lanfear.  As an event, rotate this card to give Lanfear an allegiance of your choice until the end of the turn.  When Lanfear rolls her dice, rotate this card to have Lanfear additionally generate [Politics] [One Power].  These additional symbols may only be used for recruiting.  As an event, discard this card to have Lanfear cease participating in a challenge.  Any results she generated in the challenge still apply.
Shades of Grey	dark_prophecies	shades_of_grey					Event							Uncommon	02-108 U	Target a non-starting character.  Ability symbols generated by the target have no allegiances.  Shuffle all copies of Shades of Grey (not including this one) in your discard pile into your deck when you play this card.
Soldier of War	dark_prophecies	soldier_of_war				2	Character	Mercenary	Multiple				3	Common	02-109 C	As an event, rotate to search your deck for the first contested advantage, and place it in your hand.
Square of Tammaz	dark_prophecies	square_of_tammaz					Advantage	Player						Common	02-110 C	If you do not control at least 3 members of the Council of Nine, discard this card.  When resolving a challenge you intiated from a contested advantage, you may place a token on the advantage for each 1 (instead of 2) by which you succeed.  As an event, rotate to target a member of the Council of Nine.  When the target rolls his dice this turn he additionally generates [Politics] [Intrigue] [Combat].
Strength in Diversity	dark_prophecies	strength_in_diversity					Event							Common	02-111 C	All symbols you generate for the rest of the turn gain the allegiances of all characters and troops you currently control. [08.21.2001 - ERRATA]
Strength of Character	dark_prophecies	strength_of_character					Challenge							Common	02-112 C	Target a character you control with a printed cost.  If you succeed, this card becomes a character advantage on the target with the following text: When this character rolls his dice during the generate resource pool step, his results are ignored.  He instead generates the ability symbols listed in his printed cost.
Strong Loyalties	dark_prophecies	strong_loyalties					Event							Common	02-113 C	Place a token on each nation contested advantage you control.  For the rest of the turn, you may rotate a nation contested advantage you control to search your deck for any card with the same allegiance as the advantage, and place it in your hand.
Sulin	dark_prophecies	sulin	1			1	Character	Aiel	Maiden of the Spear	1			3	Uncommon	02-114 U	Symbols generated by this character may not be used for recruiting.  When you recruit Sulin, target a character you control.  As an event, rotate this card to move up to 3 damage from the target to Sulin.
Take Back the Night	dark_prophecies	take_back_the_night					Advantage	Player						Common	02-115 C	May only be played by a Hero player.  If 1 or more Monsters were recruited during the action round, all troops you control participating in challenges roll three additional Combat dice when they roll their dice.
Tear Defenders	dark_prophecies	tear_defenders	1			1	Troop	Tear					4	Uncommon	02-116 U	While participating in a challenge you did not initiate, this troop rolls an additional 2 Combat dice when it rolls its dice.
The City of Illian	dark_prophecies	the_city_of_illian					Advantage	Player	Capital of Illian					Rare 2	02-117 R2	While you control the Illian nation contested advantage, when you gain pattern from a Pattern Challenge, you may return a challenge card of your choice in your discard pile to your hand.
The Companions	dark_prophecies	the_companions	2			1	Troop	Illian	Reinforcement				6	Rare 2	02-118 R2	As an event, while participating in a challenge, you may remove 1 point of damage generated by this troop to remove 1 point of damage from any troop damage pool.
The Dance of Spears	dark_prophecies	the_dance_of_spears					Event							Common	02-119 C	During a challenge you may pay [Combat] generated by a character you control with the Aiel allegiance to remove [Damage] from any damage pool.
The Game of Houses	dark_prophecies	the_game_of_houses					Event	Limited						Common	02-120 C	Add [Intrigue] to your pool for each character and troop you control with the Cairhien allegiance.  These symbols have the Cairhien allegiance.
The Great Lord Comes	dark_prophecies	the_great_lord_comes					Advantage	Player	Prophecy					Rare 2	02-121 R2	Requirements: Initiate and win 3 card-based challenges, and recruit 3 Forsaken.  Benefits: During the Last Battle, you may discard this card as an event to place 6 damage on each of 3 different characters participating in the challenge.
The Halls of Power	dark_prophecies	the_halls_of_power					Advantage	Player						Common	02-122 C	Ability symbols generated by cards you control which do not have the Aes Sedai allegiance may not be used for recruiting.  When you recruit a card with the Aes Sedai allegiance, you may search your deck for the first event with [One Power] in its cost, and place it in your hand.  When you place a card with the Aes Sedai allegiance into your killed pile, you may take an event with [One Power] in its cost from your discard pile and place it in your hand.
The Host	dark_prophecies	the_host					Troop	Dragon					9	Rare 2	02-123 R2	There is no cost to recruit this troop.  If you do not discard from play 3 non-Mercenary troops you control with different allegiances when you recruit this troop, kill it immediately.
The Light Illumine	dark_prophecies	the_light_illumine					Event	Limited						Common	02-124 C	All non-starting characters and troops you control with the Children of the Light allegiance which are placed into your killed pile this turn are instead returned to your hand.
The Lines of Loyalty	dark_prophecies	the_lines_of_loyalty	1	1	1	1	Advantage	Player						Uncommon	02-125 U	May only be played by a Hero player. Pay [Politics] and rotate to search your deck for the first character card with a printed cost, place it in your hand, then shuffle a character card with a printed cost from your hand into your deck. [Politics][Intrigue][One Power][Combat] [With this new effect text, this card is NO LONGER BANNED, 11.09.2000 - ERRATA]
The Lion and the Rose	dark_prophecies	the_lion_and_the_rose					Event	Limited						Common	02-126 C	Rotate any number of characters you control with the Andor allegiance.  For each character rotated, add [2x Support] or [2x Opposition] to a target challenge.
The Lion Throne	dark_prophecies	the_lion_throne					Advantage	Player						Common	02-127 C	If you do not control the Andor nation contested advantage, discard this card.  When characters you control with the Andor allegiance roll their Politics dice during a challenge, they roll an additional Politics die.
The Lord of Chaos	dark_prophecies	the_lord_of_chaos					Advantage	Player	Prophecy					Rare 2	02-128 R2	Requirements: A Forsaken you control rolls [3x One Power].  Benefits: While participating in card-based challenges, characters you control additionally generate [Support] [Opposition] when they roll their dice.
The Pattern Decrees	dark_prophecies	the_pattern_decrees					Event							Common	02-129 C	You may only play this event once per turn. Target a number of characters and/or troops you control up to the number of tokens on your section of the pattern. When the targets roll their dice while participating in a challenge this turn, they additionally generate [Support] [Opposition]. [08.15.2000 - ERRATA]
The Port of Illian	dark_prophecies	the_port_of_illian					Event	Limited						Common	02-130 C	For each member of the Council of Nine you control, add [Politics], [Intrigue], or [Combat] to your pool.  These symbols have all allegiances.
The Prophet	dark_prophecies	the_prophet	3			1	Character	Dragon		3	1		3	Rare 2	02-131 R2	While participating in a challenge, all Dragonsworn you control participating in the same challenge gain +1 Combat.  As an event, rotate to search your deck for a Dragonsworn and place it in your hand.  If a Dragonsworn you control could have participated in either the Pattern Challenge or Last Battle but didn't, discard it.
The Seals	dark_prophecies	the_seals					Advantage	World	Contested Advantage					Rare 2	02-132 R2	May only be played if there is less than 10 pattern total in the game.  If any Hero player controls this advantage by 7 or more, all Hero players generate an additional amount of [Support] and [Opposition] equal to twice their current pattern during the Last Battle.  If any Villain player controls this advantage by 7 or more, all Villain players generate an additional amount of [Support] and [Opposition] equal to twice their current pattern during the Last Battle.  
The Shadows Rising	dark_prophecies	the_shadows_rising					Advantage	Player	Prophecy					Rare 2	02-133 R2	May only be played by a Villain player.  Requirements: Have 3 more pattern than when you played this card.  Benefits: Gain a pattern, search your deck and remove up to 10 cards of your choice from the game, and you may take a card from your discard pile and place it in your hand for each 3 tokens on your section of the pattern.
The Stone Shall Fall	dark_prophecies	the_stone_shall_fall					Advantage	Player	Prophecy					Rare 2	02-134 R2	Requirements: Initiate the Callandor challenge, and win it by 5.  Benefits: Search your deck for up to 5 cards with the Tear allegiacne and put them directly into play in your homefront.
The Stone Still Stands	dark_prophecies	the_stone_still_stands					Event	Limited						Common	02-135 C	Draw a card for each High Lord and High Lady you control.  Reveal these cards to all players.  If any card drawn is not a character or troop with the Tear allegiance, shuffle it back into your deck.
The Sun Throne	dark_prophecies	the_sun_throne					Advantage	Player						Common	02-136 C	If you do not control at least 3 troops with the Cairhien allegiance, discard this card.  No other player may target characters and troops you control with event cards, unless the event has a [One Power] in its cost.
The Void	dark_prophecies	the_void					Advantage	Character						Uncommon	02-137 U	Pay any ability symbol from a target character you control to play this card on the target.  While participating in a challenge, the target rolls an additional die for each different ability he is rolling in the challenge.  As an event, discard this card to remove a point of damage from the target.
The Younglings	dark_prophecies	the_younglings			1	1	Troop	Aes Sedai					3	Uncommon	02-138 U	If you control Gawyn, this troop has no cost.  If this troop is participating in the Tar Valon contested advantage, it additionally generates [2x Support] [2x Opposition] when it rolls its dice.
Third Squadron	dark_prophecies	third_squadron				1	Troop	Dragon	Band of the Red Hand				3	Uncommon	02-139 U	This troop gains +1 Combat for every 3 Band of the Red Hand troops you control.  All [Opposition] generated by this troop may be converted into [Support].
Trolloc Guard	dark_prophecies	trolloc_guard				1	Troop	Dark One	Monster				2	Common	02-140 C	As an event, rotate and kill this troop to remove up to 2 damage from a character you control with the Dark One allegiance.
Trolloc Horde	dark_prophecies	trolloc_horde				1	Troop	Dark One	Monster				5	Common	02-141 C	This troop may only participate in challenges you initiate.
Twice Shall He Be Marked	dark_prophecies	twice_shall_he_be_marked					Advantage	Player	Prophecy					Rare 2	02-142 R2	Requirements: Initiate and win 2 Pattern Challenges in which the Dragon Reborn is your only participating character and has the Heron-Mark Blade character advantage. Benefits: All Villain players discard their hands, place the top 10 cards of their deck into their discard pile, and may not ready any cards next turn.
Under One Banner	dark_prophecies	under_one_banner					Advantage	Player						Common	02-143 C	While participating in the Last Battle your starting character gains +1 to all non-zero abilities for each different allegiance if you control at least one character and one troop with that allegiance. [08.21.2001 - ERRATA]
United Front	dark_prophecies	united_front	1				Event							Common	02-144 C	Play during the Coming to Grips step of a challenge.  Add either [3x Support] or [3x Opposition] to the challenge.
War of Attrition	dark_prophecies	war_of_attrition					Challenge							Common	02-145 C	Target a player.  For each 2 by which this challenge succeeds, the target must move 1 card from the top of his deck to his discard pile.
War Party	dark_prophecies	war_party				3	Troop	Aiel					7	Uncommon	02-146 U	This troop may not rotate to heal.  As a limited event, pay [2x Combat] to remove 1 point of damage from this troop.
Warders	dark_prophecies	warders			2		Troop	Aes Sedai	Multiple, Warder				4	Uncommon	02-147 U	Once per turn, as an event, you may target a character you control with the Aes Sedai allegiance participating in the same challenge as this troop to move up to 4 damage from the target to this troop.
White Lions	dark_prophecies	white_lions		2			Troop	Andor	Dark Nature				4	Uncommon	02-148 U	The White Lions may participate in challenges with Monsters.
Whitecloak Spy	dark_prophecies	whitecloak_spy		1			Character	Children of the Light			2			Uncommon	02-149 U	This card may only be recruited with ability symbols with the Children of the Light allegiance.  If any player has 4 or more pattern, you may rotate and kill Whitecloak Spy to target a character that was recruited this turn.  The target is returned to its owner's hand and cannot be recruited this turn or next turn.
Young Bull	dark_prophecies	young_bull					Character	Dragon	Wolfbrother, Ta'veren, Reinforcement	1			4	Rare 2	02-150 R2	Replace Perrin Aybara.  All Wolf characters and troops you control have +1 Combat.  As an event, Young Bull may convert 1 point of character damage he generates into 1 point of troop damage.  Young Bull also has all of the Dragon Reborn's allegiances.
Jarette Byar (misprint)	dark_prophecies	jarette_byar				1	Character	Children of the Light					2	Uncommon 1	S2-054 U1	While participating in a challenge against a monster, or a character or troop with the Aes Sedai allegiance, Jaret Byar additionally generates [Damage] when he rolls his dice.
